Date,Description,Original Description,Category,Amount,Status
2025-07-14,"Credit Card Payment","","",-300.00,Recurring Scheduled Bill Pay
2025-07-16,"Check #1895","CHECK # 0000001895",Check,-85.00,Posted
2025-07-15,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********3516",Credit Card Payment,-300.00,Posted
2025-07-14,"eBay","eBay O*01-13329-60300    San Jose     CA",Shopping,-109.06,Posted
2025-07-14,"Social Security","SSA  TREAS 310   XXSOC SEC  *********** SSA",Income,2654.00,Posted
2025-07-11,"Check #997123","CHECK # 0000997123",Check,-73.35,Posted
2025-07-10,"Alabama Power","ALABAMA POWER    ONLINE PMT ***********2POS",Utilities,-500.00,Posted
2025-07-09,"Check #997135","CHECK # 0000997135",Check,-60.00,Posted
2025-07-09,"Twin Bridges Golf","LS TWIN BRIDGES GOLF     125-65494866 AL",Sports,-40.00,Posted
2025-07-08,"Check #997136","CHECK # 0000997136",Check,-90.00,Posted
2025-07-08,"Check #1394","CHECK # 0000001394",Check,-85.00,Posted
2025-07-08,"ABC Select Spirits","ALABAMA ABC #153         GADSDEN      AL",Alcohol & Bars,-21.99,Posted
2025-07-03,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********1085",Financial,-461.17,Posted
2025-07-03,"Comcast","COMCAST          ONLINE PMT ***********2POS",Bills & Utilities,-330.00,Posted
2025-07-01,"Cooks Pest","COOKS PEST CONTROL - GA  256-355-3285 AL",Home,-117.00,Posted
2025-07-01,"Lowe's","LOWE'S #16               GADSDEN      AL",Home Improvement,-54.98,Posted
2025-07-01,"Lowe's","LOWE'S #16               GADSDEN      AL",Home Improvement,-27.00,Posted
